Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,TT,BMag,l_SFRa,SFRa,l_Pa,Pa,l_Fa,Fa,l_SFRu,SFRu,l_Pu,Pu,l_Fu,Fu
SMC,0,52,38.0,-,72,48,1,9,-16.50,,-1.34,,-0.05,,0.12,,0.00,,0.00,,0.00
And IX,0,52,52.8,+,43,12,0,-3,-8.11,,-6.87,,-2.93,,2.60,,-6.22,,-2.28,,1.95
NGC0300,0,54,53.5,-,37,40,57,7,-17.91,,-0.75,,-0.04,,0.23,,-0.54,,0.17,,0.02
And XVI,0,59,29.8,+,32,22,36,-3,-8.19,,0.00,,0.00,,0.00,,-5.81,,-1.90,,1.18
Sculptor,1,0,9.4,-,33,42,33,-3,-9.77,,0.00,,0.00,,0.00,,-8.11,,-4.83,,3.63
LGS 3,1,3,55.0,+,21,53,6,10,-9.26,<,-6.85,<,-2.67,>,2.00,,-5.23,,-1.05,,0.38
IC1613,1,4,47.8,+,2,8,0,10,-14.54,,-2.38,,-0.31,,0.28,,-2.07,,0.00,,-0.03
And X,1,6,33.7,+,44,48,16,-3,-7.86,,-5.51,,-1.47,,1.04,<,-6.39,<,-2.35,>,1.92
UGC00685,1,7,22.3,+,16,41,2,9,-14.30,,-2.30,,-0.14,,0.17,,-2.32,,-0.16,,0.19
KKH5,1,7,32.5,+,51,26,25,10,-12.27,,-2.80,,0.18,,-0.20,,0.00,,0.00,,0.00
AM0106-382,1,8,22.0,-,38,12,33,10,-13.36,,-2.33,,0.21,,0.04,,-2.30,,0.24,,0.01
NGC0404,1,9,26.9,+,35,43,3,-1,-16.49,,-1.48,,-0.62,,-0.46,,-2.21,,-1.35,,0.27
And V,1,10,17.1,+,47,37,41,-3,-9.17,,-6.30,,-2.78,,2.05,,0.00,,0.00,,0.00
And II,1,16,29.8,+,33,25,9,-3,-9.24,,-6.63,,-3.14,,2.20,,-6.05,,-2.56,,1.62
And XXII,1,27,40.0,+,28,5,25,-3,-6.03,,0.00,,0.00,,0.00,,-6.14,,-1.37,,0.00
UGC01056,1,28,47.2,+,16,41,17,9,-14.82,,-1.95,,-0.06,,-0.28,,-2.15,,-0.26,,-0.08
UGC01104,1,32,42.3,+,18,18,57,9,-15.19,,-2.01,,-0.23,,0.16,,-1.70,,0.08,,-0.15
MESSIER033,1,33,50.8,+,30,39,37,5,-18.77,,-0.44,,0.16,,-0.11,,-0.34,,0.26,,-0.21
KKH6,1,34,51.6,+,52,5,30,10,-12.38,,-3.33,,-0.21,,0.09,<,-4.10,<,-0.98,>,0.86
NGC0625,1,35,5.0,-,41,26,11,8,-16.43,,-1.23,,-0.03,,-0.67,,-1.54,,-0.34,,-0.36
NGC0628,1,36,41.3,+,15,47,12,5,-19.84,,-0.06,,-0.24,,-0.37,,-0.14,,-0.32,,-0.29
UGC01171,1,39,41.6,+,15,54,11,10,-13.88,,-3.87,,-1.54,,2.06,,-2.80,,-0.47,,0.99
DDO013,1,40,9.6,+,15,54,17,10,-15.69,,-1.57,,0.04,,0.36,,-1.48,,0.13,,0.27
AGC112521,1,41,7.9,+,27,19,26,10,-11.54,,-4.14,,-0.87,,1.08,,-3.82,,-0.55,,0.76
KK13,1,42,16.8,+,26,22,4,10,-13.11,,-2.99,,-0.35,,0.32,,-2.81,,-0.17,,0.14
KDG010,1,43,41.4,+,15,41,23,10,-13.52,,-2.63,,-0.15,,0.48,,-3.09,,-0.61,,0.94
KK14,1,44,42.7,+,27,17,16,10,-12.13,,-3.48,,-0.45,,1.17,,-2.92,,0.11,,0.61
ESO245-005,1,45,3.6,-,43,35,53,9,-15.61,,-1.62,,0.01,,0.33,,-1.37,,0.26,,0.08
KK15,1,46,41.6,+,26,48,5,10,-11.43,,-3.75,,-0.44,,0.93,,-3.18,,0.13,,0.36
IC1727,1,47,30.1,+,27,19,52,8,-17.76,,-1.12,,-0.44,,0.12,,-0.72,,-0.04,,-0.28
NGC0672,1,47,53.2,+,27,26,1,6,-18.76,,-0.69,,-0.20,,0.05,,-0.45,,0.04,,-0.19
UGC01281,1,49,32.3,+,32,35,33,7,-16.06,,-2.00,,-0.38,,0.35,,-1.66,,-0.04,,0.01
Phoenix,1,51,6.3,-,44,26,41,10,-9.56,,0.00,,0.00,,0.00,,-4.43,,-0.37,,-0.22
KK16,1,55,20.6,+,27,57,15,10,-12.68,,-3.46,,-0.65,,0.43,,-3.02,,-0.21,,-0.01
KK17,2,0,9.9,+,28,49,57,10,-11.49,,-3.55,,-0.42,,0.42,,-3.53,,-0.40,,0.40
NGC0784,2,1,16.8,+,28,50,37,8,-16.52,,-1.53,,0.01,,0.12,,-1.40,,0.14,,-0.01
UGC1561,2,4,5.0,+,24,12,28,9,-15.14,,-2.13,,-0.30,,-0.11,,-2.10,,-0.27,,-0.14
Cas1,2,6,7.9,+,69,0,36,10,-16.70,,-1.35,,0.02,,-0.41,,0.00,,0.00,,0.00
UGC01703,2,12,55.8,+,32,48,51,-2,-11.53,,-4.86,,-2.29,,1.29,<,-4.85,<,-2.28,>,1.28
NGC0855,2,14,3.7,+,27,52,38,0,-16.97,,-1.11,,-0.34,,-0.31,,-1.59,,-0.82,,0.17
Segue 2,2,19,16.0,+,20,10,31,-3,-2.31,,0.00,,0.00,,0.00,,-7.92,,-1.66,,0.00
NGC0891,2,22,32.8,+,42,20,48,3,-20.54,,-0.11,,-0.93,,-0.12,,-0.30,,-1.12,,0.07
KKH11,2,24,35.0,+,56,0,42,10,-13.32,,-2.71,,-0.22,,0.50,,0.00,,0.00,,0.00
[KK2000] 03,2,24,42.7,-,73,30,46,-3,-12.28,,0.00,,0.00,,0.00,<,-5.02,<,-3.10,>,1.43
DDO019,2,25,0.2,+,36,2,16,10,-14.38,,-1.74,,0.39,,0.19,,-1.67,,0.46,,0.12
d0226+3325,2,26,52.8,+,33,25,37,10,-12.66,,-4.60,,-1.78,,2.73,,0.00,,0.00,,0.00
NGC0925,2,27,16.0,+,33,34,41,7,-19.87,,-0.03,,-0.01,,-0.26,,0.10,,0.12,,-0.39
Halogas,2,27,20.0,+,33,57,30,10,-12.17,,0.00,,0.00,,0.00,,-3.02,,0.00,,0.27
KKH12,2,27,27.0,+,57,29,16,10,-13.03,,-2.43,,0.04,,-0.21,,0.00,,0.00,,0.00
DDO022,2,32,54.0,+,38,40,50,10,-14.40,,-2.38,,-0.26,,0.56,,-2.44,,-0.32,,0.62
DDO025,2,33,18.2,+,33,29,28,8,-16.29,,-1.40,,-0.13,,-0.06,,-1.33,,-0.06,,-0.13
DDO024,2,33,43.0,+,40,31,41,8,-16.52,,-1.50,,-0.32,,0.36,,0.00,,0.00,,0.00
MB1,2,35,35.6,+,59,22,47,10,-13.81,,-2.53,,-0.62,,-0.07,,0.00,,0.00,,0.00
Maffei1,2,36,35.5,+,59,39,18,-3,-18.97,<,-2.99,<,-3.07,,0.00,,0.00,,0.00,,0.00
ESO115-021,2,37,45.0,-,61,20,28,7,-15.54,,-1.65,,-0.25,,0.34,,-1.46,,-0.06,,0.15
Fornax,2,39,54.7,-,34,31,33,-3,-11.50,,0.00,,0.00,,0.00,,-7.16,,-4.58,,2.48
Maffei2,2,41,54.5,+,59,36,11,4,-20.12,,-0.86,,-1.39,,-0.23,,0.00,,0.00,,0.00
AGC122226,2,46,38.9,+,27,43,35,9,-13.11,,-2.21,,0.43,,-0.11,,0.00,,0.00,,0.00
Dw2,2,54,8.5,+,59,0,19,10,-14.59,,-2.47,,-0.69,,0.61,,0.00,,0.00,,0.00
MB3,2,55,43.6,+,58,51,42,10,-13.65,<,-4.07,<,-2.02,>,1.98,,0.00,,0.00,,0.00
ESO154-023,2,56,50.4,-,54,34,23,8,-16.33,,-1.37,,-0.12,,0.59,,-1.05,,0.20,,0.27
Dw1,2,56,56.1,+,58,54,42,3,-18.77,,-1.10,,-1.32,,-0.23,,0.00,,0.00,,0.00
ESO199-007,2,58,4.1,-,49,22,57,10,-12.74,,0.00,,0.00,,0.00,,-2.64,,0.15,,0.09
NGC1156,2,59,42.4,+,25,14,15,8,-18.14,,-0.48,,0.34,,-0.57,,-0.47,,0.35,,-0.58
LV J0300+2546,3,0,39.3,+,25,46,56,10,-12.73,,-3.09,,-0.30,,-0.58,,-3.41,,-0.62,,-0.26
KKH18,3,3,5.9,+,33,41,40,10,-12.39,,-3.27,,-0.34,,0.47,,-2.64,,0.29,,-0.16
ESO300-014,3,9,37.8,-,41,1,50,8,-17.13,,-1.42,,-0.59,,0.21,,-1.07,,-0.24,,-0.14
ESO300-016,3,10,10.5,-,40,0,11,10,-14.23,,-2.77,,-0.58,,0.76,,-2.25,,-0.06,,0.24
NGC1291,3,17,18.6,-,41,6,29,1,-20.36,,-0.41,,-1.21,,-0.48,,-1.01,,-1.81,,0.12
NGC1313,3,18,15.4,-,66,29,51,7,-18.98,,-0.32,,0.29,,-0.31,,-0.14,,0.47,,-0.49
NGC1311,3,20,7.4,-,52,11,6,8,-15.27,,-1.61,,0.15,,-0.27,,-1.73,,0.03,,-0.15
UGC02684,3,20,23.7,+,17,17,42,10,-13.37,,-2.84,,-0.28,,0.89,,-2.26,,0.30,,0.31
KK27,3,21,3.0,-,66,19,11,10,-11.83,,0.00,,0.00,,0.00,,-3.72,,-0.57,,-0.28
UGC02716,3,24,7.2,+,17,45,15,8,-14.98,,-2.26,,-0.47,,0.07,,-1.98,,-0.19,,-0.21
UGC02773,3,32,7.1,+,47,47,37,9,-16.12,,-0.86,,0.32,,-0.78,,0.00,,0.00,,0.00
IC1959,3,33,11.8,-,50,24,38,8,-16.02,,-1.40,,0.27,,-0.11,,-1.20,,0.47,,-0.31
PGC013294,3,35,56.8,-,45,11,29,10,-13.43,,0.00,,0.00,,0.00,,-2.42,,0.09,,-0.27
NGC1400,3,39,30.8,-,18,41,17,-3,-20.31,,0.00,,0.00,,0.00,,-1.23,,-2.07,,0.00
KKH22,3,44,56.6,+,72,3,52,10,-11.38,,0.00,,0.00,,0.00,<,-4.05,<,-0.72,>,0.64
KK35,3,45,12.6,+,67,51,50,10,-14.30,,-1.61,,0.55,,0.00,,-1.92,,0.24,,0.00
IC0342,3,46,48.9,+,68,5,45,6,-20.69,,-0.26,,-0.72,,0.55,,0.60,,0.14,,-0.31
UGC02905,3,57,0.6,+,16,31,28,10,-14.42,,-2.59,,-0.48,,0.28,,-2.13,,-0.02,,-0.18
UGCA086,3,59,49.5,+,67,7,31,8,-17.92,,-1.14,,-0.13,,0.00,,0.00,,0.00,,0.00
IC2038,4,8,54.1,-,55,59,32,7,-16.49,,0.00,,0.00,,0.00,,-1.48,,-0.42,,0.00
NGC1533,4,9,51.8,-,56,7,6,1,-19.87,,-0.28,,-0.99,,0.17,,-1.26,,-1.97,,1.15
ESO483-013,4,12,41.1,-,23,9,32,9,-15.51,,-1.82,,-0.41,,-0.42,,-1.80,,-0.39,,-0.44
CamA,4,25,15.6,+,72,48,21,10,-14.06,,-2.83,,-0.57,,1.18,,-3.35,,-1.09,,1.70
NGC1592,4,29,40.8,-,27,24,31,10,-15.50,,0.00,,0.00,,0.00,,-0.93,,1.03,,-0.95
NGC1569,4,30,49.1,+,64,50,53,8,-18.10,,-0.11,,0.66,,-1.49,,-0.59,,0.18,,-1.01
UGCA092,4,32,0.3,+,63,36,50,10,-15.59,,-1.63,,0.52,,-0.07,,0.00,,0.00,,0.00
NGC1560,4,32,49.9,+,71,52,52,7,-16.65,,-1.31,,0.11,,0.47,,-1.21,,0.21,,0.37
NGC1637,4,41,28.2,-,2,51,29,6,-18.68,,-0.48,,-0.41,,-0.38,,0.00,,0.00,,0.00
CamB,4,53,6.9,+,67,5,57,10,-11.85,,-3.33,,-0.24,,0.54,,0.00,,0.00,,0.00
NGC1705,4,54,13.7,-,53,21,41,9,-15.87,,-1.08,,0.54,,-0.83,,-1.08,,0.54,,-0.83
HIPASS J0457-42,4,56,58.7,-,42,48,14,10,-14.89,,-2.22,,-0.29,,0.48,,0.00,,0.00,,0.00
NGC1744,4,59,58.2,-,26,1,36,7,-18.75,,-0.59,,0.13,,0.07,,-0.20,,0.52,,-0.32
ESO486-021,5,3,19.7,-,25,25,23,9,-15.77,,-1.48,,-0.09,,0.08,,-1.33,,0.06,,-0.07
NGC1800,5,6,25.7,-,31,57,15,9,-16.45,,-1.25,,-0.15,,-0.49,,-1.26,,-0.16,,-0.48
UGCA105,5,14,15.1,+,62,34,51,8,-16.82,,-1.29,,-0.23,,0.00,,-1.14,,-0.08,,-0.15
LMC,5,23,34.6,-,69,45,22,9,-17.93,,-0.52,,0.19,,-0.69,,0.00,,0.00,,0.00
UGC03303,5,24,59.5,+,4,30,18,8,-16.00,,-1.11,,0.27,,-0.24,,0.00,,0.00,,0.00
ESO553-046,5,27,5.7,-,20,40,41,9,-14.12,,-1.49,,0.72,,-1.16,,-1.85,,0.36,,-0.80
KK49,5,41,41.5,+,6,40,54,9,-14.92,,-1.19,,0.28,,-0.95,,0.00,,0.00,,0.00
Orion,5,45,2.0,+,5,4,6,8,-16.95,,-1.09,,0.36,,0.16,,0.00,,0.00,,0.00
A0554+07,5,57,36.7,+,7,29,31,10,-12.85,,-2.91,,-0.17,,0.34,,0.00,,0.00,,0.00
KKH34,5,59,41.2,+,73,25,39,10,-12.30,,-3.90,,-0.94,,0.79,,-3.91,,-0.95,,0.80
ESO364-029,6,5,45.4,-,33,4,54,9,-15.94,,-1.53,,-0.37,,0.04,,0.00,,0.00,,0.00
HIPASS J0607-34,6,7,19.7,-,34,12,16,9,-15.51,,-1.89,,-0.21,,0.11,,0.00,,0.00,,0.00
NGC2188,6,10,9.5,-,34,6,22,8,-17.51,,-0.94,,-0.06,,-0.32,,0.00,,0.00,,0.00
ESO121-020,6,15,54.5,-,57,43,35,10,-13.81,,0.00,,0.00,,0.00,,-2.33,,0.03,,0.40
LV J0616-5745,6,16,9.2,-,57,45,55,10,-12.05,,0.00,,0.00,,0.00,,-2.91,,0.15,,0.40
UGCA127sat,6,20,54.8,-,8,39,1,10,-16.28,,-2.04,,-0.67,,0.00,,0.00,,0.00,,0.00
UGCA127,6,20,55.7,-,8,29,44,6,-19.95,,0.12,,0.26,,-0.65,,0.00,,0.00,,0.00
WHI B0619-07,6,22,13.8,-,7,50,16,8,-17.75,,-1.45,,-0.76,,0.52,,0.00,,0.00,,0.00
UGC03475,6,30,28.8,+,39,30,14,6,-17.31,,-1.03,,0.17,,0.41,,0.00,,0.00,,0.00
UGC03476,6,30,29.2,+,33,18,7,10,-14.27,,-1.85,,0.33,,0.13,,0.00,,0.00,,0.00
ESO490-017,6,37,56.6,-,25,59,59,10,-14.46,,-2.06,,0.30,,-0.26,,0.00,,0.00,,0.00
CGMW1-260,6,38,0.1,-,15,1,22,8,-18.26,,-1.24,,-0.54,,0.08,,0.00,,0.00,,0.00
UGC03501,6,38,38.4,+,49,15,30,10,-14.75,,0.00,,0.00,,0.00,,-1.65,,0.33,,0.09
Carina,6,41,36.7,-,50,57,58,-3,-8.97,,0.00,,0.00,,0.00,,-7.58,,-3.98,,0.03
IC2171,6,44,27.3,-,17,55,57,8,-16.73,,-1.14,,-0.05,,-0.35,,0.00,,0.00,,0.00
NGC2283,6,45,52.7,-,18,12,37,6,-18.88,,-0.12,,0.18,,-0.31,,0.00,,0.00,,0.00
KKSG9,6,46,56.9,-,17,56,29,9,-15.67,,-1.87,,-0.45,,0.64,,0.00,,0.00,,0.00
KKH37,6,47,45.8,+,80,7,26,10,-11.58,,-3.85,,-0.60,,0.68,,-3.50,,-0.25,,0.33
UGC03600,6,55,40.0,+,39,5,42,8,-13.51,,-2.73,,-0.35,,0.64,,-2.25,,0.13,,0.16
FG202,7,5,17.1,-,58,31,14,10,-14.01,,-2.20,,0.08,,0.60,,0.00,,0.00,,0.00
ESO558-011,7,6,56.8,-,22,2,26,8,-16.97,,-1.61,,-0.61,,-0.19,,0.00,,0.00,,0.00
UGC03698,7,9,18.8,+,44,22,48,10,-14.31,,-2.24,,-0.08,,0.23,,-2.20,,-0.04,,0.19
NGC2337,7,10,13.6,+,44,27,25,9,-16.49,,-0.98,,0.17,,-0.29,,-1.12,,0.03,,-0.15
UGC03755,7,13,51.8,+,10,31,19,10,-15.66,,-1.84,,-0.10,,0.22,,-1.74,,0.00,,0.12
UGC03817,7,22,44.5,+,45,6,30,10,-14.14,,-2.20,,-0.50,,0.50,,-2.17,,-0.47,,0.47
DDO043,7,28,17.2,+,40,46,13,10,-13.92,,-2.42,,0.11,,0.40,,-2.23,,0.30,,0.21
NGC2366,7,28,54.6,+,69,12,19,10,-16.05,,-0.98,,0.49,,-0.28,,-1.15,,0.32,,-0.11
ESO059-001,7,31,19.3,-,68,11,10,9,-14.99,,-2.17,,-0.19,,0.28,,0.00,,0.00,,0.00
DDO044,7,34,11.3,+,66,53,10,-3,-12.07,,-5.19,,-2.83,,1.34,,-5.07,,-2.71,,1.22
NGC2403,7,36,51.4,+,65,35,58,6,-19.22,,-0.16,,0.12,,-0.45,,-0.09,,0.19,,-0.52
LV J0737+4724,7,37,28.5,+,47,24,33,10,-13.39,,0.00,,0.00,,0.00,,-2.48,,0.05,,0.37
DDO046,7,41,25.8,+,40,6,45,10,-15.02,,-2.36,,-0.34,,0.71,,-1.86,,0.16,,0.21
DDO047,7,41,55.0,+,16,48,2,8,-16.06,,-1.75,,-0.34,,0.69,,-1.31,,0.10,,0.25
KK65,7,42,31.2,+,16,33,40,10,-14.32,,-1.87,,0.15,,-0.30,,-2.33,,-0.31,,0.16
KKH40,7,46,56.4,+,51,17,46,10,-12.89,,0.00,,0.00,,0.00,,-2.47,,0.26,,0.08
CGCG 262-028,7,47,32.1,+,51,11,29,9,-14.76,,-1.67,,0.56,,0.00,,-1.70,,0.53,,0.00
AGC174605,7,50,21.7,+,7,47,40,10,-10.99,,0.00,,0.00,,0.00,<,-4.79,<,-1.30,>,1.67
UGC04115,7,57,1.8,+,14,23,27,10,-14.33,,-1.83,,0.07,,0.30,,-1.68,,0.22,,0.15
HIPASS J0801-21,8,1,25.4,-,21,59,51,10,-12.77,<,-3.59,<,-0.81,>,1.26,,0.00,,0.00,,0.00
NGC2500,8,1,53.2,+,50,44,14,7,-18.47,,-0.38,,-0.04,,-0.54,,-0.37,,-0.03,,-0.55
LV J0812+4836,8,12,39.5,+,48,36,45,9,-13.59,,0.00,,0.00,,0.00,,-2.46,,-0.01,,0.00
NGC2537,8,13,14.7,+,45,59,26,8,-18.44,,-0.41,,-0.12,,-0.72,,-0.56,,-0.27,,-0.57
IC2233,8,13,58.9,+,45,44,32,7,-18.31,,-0.71,,0.21,,-0.04,,-0.26,,0.66,,-0.49
NGC2541,8,14,40.1,+,49,3,42,7,-18.71,,-0.41,,0.25,,0.06,,0.09,,0.75,,-0.44
HolmII,8,19,4.0,+,70,42,51,9,-16.71,,-1.17,,-0.21,,-0.09,,-1.06,,-0.10,,-0.20
NGC2552,8,19,20.5,+,50,0,35,8,-18.09,,-0.79,,-0.16,,-0.20,,-0.65,,-0.02,,-0.34
ESO495-008,8,21,0.7,-,23,46,53,10,-15.68,,-1.74,,-0.13,,0.13,,0.00,,0.00,,0.00
KDG052,8,23,56.0,+,71,1,46,10,-11.49,,-5.20,,-2.03,,2.39,,-3.03,,0.14,,0.22
DDO052,8,28,28.5,+,41,51,24,10,-14.95,,-2.39,,-0.65,,0.84,,-1.88,,-0.14,,0.33
DDO053,8,34,6.5,+,66,10,45,10,-13.37,,-2.16,,0.66,,-0.09,,-2.22,,0.60,,-0.03
ESO495-021,8,36,15.2,-,26,24,34,9,-17.61,,-0.23,,0.38,,-1.39,,0.00,,0.00,,0.00
UGC04483,8,37,3.0,+,69,46,31,10,-12.73,,-2.47,,0.67,,0.12,,-2.49,,0.65,,0.14
ESO496-010,8,49,6.0,-,26,19,12,9,-15.06,,0.00,,0.00,,0.00,,-2.21,,-0.42,,0.02
AGC182595,8,51,12.1,+,27,52,48,9,-11.92,,0.00,,0.00,,0.00,,-3.21,,-0.09,,0.00
UMa II,8,51,30.0,+,63,7,48,-2,-3.08,,0.00,,0.00,,0.00,,-8.84,,-2.89,,1.77
NGC2683,8,52,40.9,+,33,25,2,3,-20.36,,-0.31,,-0.77,,-0.62,,-0.23,,-0.69,,-0.70
KK69,8,52,50.7,+,33,47,52,10,-12.16,,-3.72,,-0.70,,1.36,,-3.68,,-0.66,,1.32
KK70,8,55,22.0,+,33,33,33,-3,-11.86,,-4.49,,-2.05,,1.45,<,-4.55,<,-2.11,>,1.51
UGC04704,8,59,0.3,+,39,12,36,8,-16.44,,-1.42,,-0.21,,0.54,,-0.89,,0.32,,0.01
LSBC D564-08,9,2,54.0,+,20,4,31,10,-11.91,<,-4.42,<,-1.30,>,2.07,,-2.85,,0.27,,0.50
ESO497-004,9,3,3.1,-,23,48,30,8,-16.10,,-1.99,,-0.64,,0.81,,-1.51,,-0.16,,0.33
HIPASS J0905-36,9,6,0.0,-,36,3,36,10,-13.92,,0.00,,0.00,,0.00,<,-3.21,<,-0.89,>,1.30
UGC04787,9,7,34.9,+,33,16,36,8,-17.28,,-1.15,,-0.28,,0.11,,-0.82,,0.05,,-0.22
KKH46,9,8,36.6,+,5,17,32,10,-11.89,,-2.76,,0.37,,0.18,,-2.83,,0.30,,0.25
LSBC D634-03,9,8,53.5,+,14,34,55,10,-12.56,<,-4.43,<,-1.57,>,1.26,,-3.58,,-0.72,,0.41
KK71,9,9,10.9,-,23,22,4,-3,-13.03,,0.00,,0.00,,0.00,,-3.10,,-1.13,,0.27
DDO056,9,9,46.6,-,23,0,33,10,-15.07,,-2.12,,-0.26,,0.11,,0.00,,0.00,,0.00
KK72,9,11,42.3,-,23,58,56,-3,-12.76,,0.00,,0.00,,0.00,,-4.12,,-2.04,,1.29
NGC2784 dw01,9,12,18.5,-,24,12,40,-3,-13.58,,0.00,,0.00,,0.00,<,-3.75,<,-2.00,>,0.92
NGC2784,9,12,19.4,-,24,10,18,-2,-19.65,,-1.06,,-1.72,,0.00,,-1.21,,-1.87,,0.00
KK73,9,12,29.3,-,24,14,28,-3,-14.46,,0.00,,0.00,,0.00,,-2.85,,-1.79,,0.02
